id	wiki	pos	lvl	text	image	definition	example	audio
0011	http://en.wiktionary.org/wiki/life	noun	0	life	http://upload.wikimedia.org/wikipedia/commons/3/39/Baby-kokon04.jpg;http://upload.wikimedia.org/wikipedia/commons/2/28/Peanut_Sprout.jpg;http://upload.wikimedia.org/wikipedia/commons/0/0e/School_of_fish_at_California_Academy_of_Sciences.JPG	The period during which one is alive.	She's the love of my life.	http://upload.wikimedia.org/wikipedia/commons/f/fc/En-us-life.ogg;http://upload.wikimedia.org/wikipedia/commons/2/2e/En-uk-life.ogg
0012	http://en.wiktionary.org/wiki/fact	noun	0	fact	http://upload.wikimedia.org/wikipedia/commons/b/bf/Estimating_Spreadsheet.png;http://upload.wikimedia.org/wikipedia/commons/4/41/Scale_of_justice.png;http://upload.wikimedia.org/wikipedia/commons/9/93/Hydrolaic_equation.JPG	An honest observation.	Let's look at the facts of the case before deciding.	http://upload.wikimedia.org/wikipedia/commons/0/09/En-us-fact.ogg
0013	http://en.wiktionary.org/wiki/other	noun	0	other	http://upload.wikimedia.org/wikipedia/commons/f/f5/Summer_Delight_triplet.jpg;http://upload.wikimedia.org/wikipedia/commons/1/14/Craie2.jpg;http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Hammenius.nitidissimus.svg/200px-Hammenius.nitidissimus.svg.png	Not the one previously referred to.	One boat is not better than the other.	http://upload.wikimedia.org/wikipedia/commons/a/ae/En-uk-other.ogg;http://upload.wikimedia.org/wikipedia/commons/3/3d/En-us-other.ogg
0014	http://en.wiktionary.org/wiki/point	noun	0	point	http://upload.wikimedia.org/wikipedia/commons/7/72/Tek-koldnaaler.gif;http://upload.wikimedia.org/wikipedia/commons/9/94/Tennyson_Down_to_the_Needles_-_geograph.org.uk_-_1377614.jpg;http://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Example_of_a_point.svg/200px-Example_of_a_point.svg.png	The sharp tip of an object.	How many angels can dance on the point of a needle?	http://upload.wikimedia.org/wikipedia/commons/5/5c/En-us-point.ogg
0015	http://en.wiktionary.org/wiki/group	noun	0	group	http://upload.wikimedia.org/wikipedia/commons/3/3f/Delegates_at_the_2005_meeting_of_the_Incubation_Research_Group_%28World_Poultry_Science_Association_-_group_photo%2C_University_of_Lincoln%29.jpg;http://upload.wikimedia.org/wikipedia/commons/1/13/OHM_-_Spielkugeln.jpg;http://upload.wikimedia.org/wikipedia/commons/e/ef/Phenyl-group-2D-flat.png	A number of things or persons being in some relation to one another.	There is a group of houses behind the hill.	http://upload.wikimedia.org/wikipedia/commons/c/c3/En-us-group.ogg
0016	http://en.wiktionary.org/wiki/case	noun	0	case	http://upload.wikimedia.org/wikipedia/commons/a/a4/American_judge.jpg;http://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/If-Then-Else-diagram.svg/200px-If-Then-Else-diagram.svg.png	An actual event, situation, or fact.	In case of fire, break glass.	http://upload.wikimedia.org/wikipedia/commons/0/00/En-us-case.ogg
0017	http://en.wiktionary.org/wiki/interest	noun	0	interest	http://upload.wikimedia.org/wikipedia/commons/b/b0/Edinburgh_Festival_Fringe_Street_Performer.jpg;http://upload.wikimedia.org/wikipedia/commons/7/77/Gandhi_microscope.jpg;http://upload.wikimedia.org/wikipedia/commons/6/63/US_Navy_090418-N-8726C-003_Brad_Wyckhouse_and_his_two-year-old_son_stare_in_awe_at_the_Accelerate_Your_Life_simulator_at_Forest_Park_during_a_St._Louis_Navy_Week_display_at_Forest_Park_in_St._Louis.jpg	Attention that is given to or received from someone or something.	He has a lot of interest in vintage cars.	http://upload.wikimedia.org/wikipedia/commons/4/47/En-us-interest.ogg
0018	http://en.wiktionary.org/wiki/use	noun	0	use	http://upload.wikimedia.org/wikipedia/commons/d/d8/Pneumatic_Torque_Wrench.JPG;http://upload.wikimedia.org/wikipedia/commons/2/2f/Singer.Model27.TreadleTable.jpg;http://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Assorted_masses.JPG/222px-Assorted_masses.JPG	A function; a purpose for which something may be employed.	What's the use of a law that nobody abides to?	http://upload.wikimedia.org/wikipedia/commons/5/50/En-us-use-noun.ogg
0019	http://en.wiktionary.org/wiki/hand	noun	0	hand	http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Paume_de_main.jpeg/306px-Paume_de_main.jpeg;http://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Hand.svg/200px-Hand.svg.png;http://upload.wikimedia.org/wikipedia/commons/9/98/The_hand.jpg	The part of the fore limb below the forearm or wrist in a human, and the corresponding part in many other animals.	With a mighty hand . . . will I rule over you. — Ezekiel 20:33.	http://upload.wikimedia.org/wikipedia/commons/3/35/En-uk-hand.ogg;http://upload.wikimedia.org/wikipedia/commons/d/d2/En-us-hand.ogg
0020	http://en.wiktionary.org/wiki/area	noun	0	area	http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Loire-Atlantique_urban_areas.svg/200px-Loire-Atlantique_urban_areas.svg.png;http://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Area_moment_of_inertia_of_a_rectangle_2.svg/200px-Area_moment_of_inertia_of_a_rectangle_2.svg.png;http://upload.wikimedia.org/wikipedia/commons/e/e8/ArcozeloPTL_Stone_fence.jpg	Any particular extent of surface, especially an empty or unused extent.	The photo is a little dark in that area.	http://upload.wikimedia.org/wikipedia/commons/9/95/En-us-area.ogg
0021	http://en.wiktionary.org/wiki/problem	noun	0	problem	http://upload.wikimedia.org/wikipedia/commons/5/59/A_car_buried_in_snow_Gdansk_Jan_2011_ubt.JPG;http://upload.wikimedia.org/wikipedia/commons/4/48/Latex_example_math_referencing.png;http://upload.wikimedia.org/wikipedia/commons/d/d4/Riot_Police.jpg	A difficulty that has to be resolved or dealt with.	What is the problem?	http://upload.wikimedia.org/wikipedia/commons/e/ee/En-us-problem.ogg
0022	http://en.wiktionary.org/wiki/country	noun	0	country	http://upload.wikimedia.org/wikipedia/commons/5/51/Countries.png;http://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Europe_countries.svg/200px-Europe_countries.svg.png;http://upload.wikimedia.org/wikipedia/commons/d/d4/G4_countries.png	An area of land; a district, region.	This is my country.	http://upload.wikimedia.org/wikipedia/commons/d/d6/En-uk-country.ogg;http://upload.wikimedia.org/wikipedia/commons/9/9b/En-us-country.ogg
0023	http://en.wiktionary.org/wiki/home	noun	0	home	http://upload.wikimedia.org/wikipedia/commons/b/bb/Lunalilo_Home.jpg;http://upload.wikimedia.org/wikipedia/commons/2/2b/Home_Sweat_Home_01348.jpg;http://upload.wikimedia.org/wikipedia/commons/2/2a/Home%2C_Sweet_Home_by_Winslow_Homer_c1863.png	The house or structure in which one lives; The place where a person was raised.	I left home last year.	http://upload.wikimedia.org/wikipedia/commons/3/37/En-us-home.ogg
0024	http://en.wiktionary.org/wiki/month	noun	0	month	http://upload.wikimedia.org/wikipedia/commons/0/0b/July2007.jpg;http://upload.wikimedia.org/wikipedia/commons/3/32/Waning_Moon.jpg	A period into which a year is divided, historically based on the phases of the moon.	July is my favourite month.	http://upload.wikimedia.org/wikipedia/commons/a/a4/En-us-month.ogg;http://upload.wikimedia.org/wikipedia/commons/b/b6/En-uk-a_month.ogg
0025	http://en.wiktionary.org/wiki/form	noun	0	form	http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Human_outline.svg/200px-Human_outline.svg.png;http://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Triangle-acute.svg/200px-Triangle-acute.svg.png;http://upload.wikimedia.org/wikipedia/commons/d/da/Application_form_of_joining_a_party.jpg	The shape or visible structure of a thing or person.	To apply for the position, complete the application form.	http://upload.wikimedia.org/wikipedia/commons/6/69/En-us-form.ogg
0026	http://en.wiktionary.org/wiki/information	noun	0	information	http://upload.wikimedia.org/wikipedia/commons/6/60/Learner%27s_License_Application_Form.png;http://upload.wikimedia.org/wikipedia/commons/5/56/Betliar_inside4.jpg;http://upload.wikimedia.org/wikipedia/commons/c/c4/Computer_lab.jpg	Things that are or can be known about a given topic.	I need some more information about this issue.	http://upload.wikimedia.org/wikipedia/commons/3/38/En-us-information.ogg
0027	http://en.wiktionary.org/wiki/position	noun	0	position	http://upload.wikimedia.org/wikipedia/commons/f/f8/W%C3%BCrzburg-Position.png;http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Moon_landing_map_surveyor.svg/200px-Moon_landing_map_surveyor.svg.png;http://upload.wikimedia.org/wikipedia/commons/4/45/Ethiopia_surveyor_and_truck.jpg	A place or location. A post of employment. A status or rank. An opinion, stand or stance.	My position on this issue is unchanged.	http://upload.wikimedia.org/wikipedia/commons/2/27/En-us-position.ogg
0028	http://en.wiktionary.org/wiki/name	noun	0	name	http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Madonna_signature.svg/200px-Madonna_signature.svg.png;http://upload.wikimedia.org/wikipedia/commons/7/74/Signature_Colijn.jpg;http://upload.wikimedia.org/wikipedia/commons/7/79/John_Witherspoon_statue_DC.JPG	Any nounal word or phrase which indicates a particular person, place, class, or thing.	What is your name?	http://upload.wikimedia.org/wikipedia/commons/c/ce/En-us-name.ogg
0029	http://en.wiktionary.org/wiki/system	noun	0	system	http://upload.wikimedia.org/wikipedia/commons/3/3a/2_Solar_System_%28blank%29.png;http://upload.wikimedia.org/wikipedia/commons/2/2e/Go_board.jpg;http://upload.wikimedia.org/wikipedia/commons/6/60/Oil_Pastelsdrawing_of_Superior_court_Judge_Harold_M._Mulvey%2C_court_reporters_and_clerks%2C_and_jurors_probably_including_foreman_Robert_L._Gaythier%2C_as_well_as_Frank_J._Dilger_and_Jennie_Jesilavich.jpg	A whole composed of relationships among the members.	The US Public School System has existed since 1636 with the founding of the Boston Latin School.	http://upload.wikimedia.org/wikipedia/commons/c/c0/En-us-system.ogg
0030	http://en.wiktionary.org/wiki/side	noun	0	side	http://upload.wikimedia.org/wikipedia/commons/4/46/Zach_Randolph_profile_view.jpg;http://upload.wikimedia.org/wikipedia/commons/5/54/Red_Brougham_Profile_view.jpg;http://upload.wikimedia.org/wikipedia/commons/7/71/Tesseract2.png	A bounding straight edge of a two-dimensional shape. A flat surface of a three-dimensional object. One half of something or someone.	Whose side are you on?	http://upload.wikimedia.org/wikipedia/commons/f/f8/En-us-side.ogg
0031	http://en.wiktionary.org/wiki/thing	noun	0	thing	http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Stuff_9624.JPG/320px-Stuff_9624.JPG;http://upload.wikimedia.org/wikipedia/commons/0/0c/Wilum_with_the_Thing.jpg;http://upload.wikimedia.org/wikipedia/commons/3/3f/The_Thing_in_the_Forest_-_geograph.org.uk_-_1258723.jpg	That which is considered to exist as a separate entity, object, quality or concept.	The thing is, I don't have any money.	http://upload.wikimedia.org/wikipedia/commons/b/b1/En-us-thing.ogg
0032	http://en.wiktionary.org/wiki/family	noun	0	family	http://upload.wikimedia.org/wikipedia/commons/2/2d/Family_mahadik.jpg;http://upload.wikimedia.org/wikipedia/commons/4/4b/Tropenmuseum_Royal_Tropical_Institute_Objectnumber_60008922_Suriname%2C_een_Chinese_familie.jpg;http://upload.wikimedia.org/wikipedia/commons/b/ba/Family_ashurbeyli.jpg	A group of people related by blood, marriage, law, or custom.	Our family lives in town.	http://upload.wikimedia.org/wikipedia/commons/6/61/En-us-family.ogg;http://upload.wikimedia.org/wikipedia/commons/0/0f/En-uk-family.ogg
0033	http://en.wiktionary.org/wiki/view	noun	0	view	http://upload.wikimedia.org/wikipedia/commons/a/a6/C-130-3-view.png;http://upload.wikimedia.org/wikipedia/commons/5/5b/Views.jpg;http://upload.wikimedia.org/wikipedia/commons/8/89/CollectedVision.png	The act of seeing or looking at something. The range of vision.	He changed seat to get a complete view of the stage.	http://upload.wikimedia.org/wikipedia/commons/f/f5/En-us-view.ogg
0034	http://en.wiktionary.org/wiki/money	noun	0	money	http://upload.wikimedia.org/wikipedia/commons/9/9b/-_Money_01_-.jpg;http://upload.wikimedia.org/wikipedia/commons/f/f9/Money_Cash.jpg;http://upload.wikimedia.org/wikipedia/commons/c/c7/Money.Cook_Islands.coin_%28Photo_by_DAVID_HOLT%2C_2012%29.jpg	A generally accepted means of exchange and measure of value.	Before colonial times cowry shells imported from Mauritius were used as money in Western Africa.	http://upload.wikimedia.org/wikipedia/commons/d/d0/En-us-money.ogg;http://upload.wikimedia.org/wikipedia/commons/d/d5/En-uk-money.ogg
0035	http://en.wiktionary.org/wiki/line	noun	0	line	http://upload.wikimedia.org/wikipedia/commons/9/92/Euler_line.png;http://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Line_clipping.svg/200px-Line_clipping.svg.png;http://upload.wikimedia.org/wikipedia/commons/4/4d/Tule_Lake_Relocation_Center%2C_Newell%2C_California._A_line_up_of_evacuee_workers_waiting_for_their_ide_._._._-_NARA_-_538223.jpg	A path through two or more points. A continuous mark, including as made by a pen. Any path, curved or straight.	The arrow descended in a curved line.	http://upload.wikimedia.org/wikipedia/commons/6/63/En-us-line.ogg
0036	http://en.wiktionary.org/wiki/time	noun	0	time	http://upload.wikimedia.org/wikipedia/commons/4/45/MontreGousset001.jpg;http://upload.wikimedia.org/wikipedia/commons/6/62/Swatch_Irony_angle_below.jpg	A measurement of the order of events.	What time is it?	http://upload.wikimedia.org/wikipedia/commons/2/2c/En-aus-time.ogg;http://upload.wikimedia.org/wikipedia/commons/1/1b/En-us-time.ogg



